epigenome,epigenome_name,state_group,case_in,case_pct,ctrl_in,ctrl_pct,odds_ratio,pvalue,fdr
E067,Angular Gyrus,Active Regulatory,839,11.788675003512717,311,10.904628330995793,1.0919051779859028,0.22470045692761598,0.4229655659813948
E067,Angular Gyrus,All Regulatory,852,11.971336237178587,312,10.93969144460028,1.1071275093621462,0.15710652927845165,0.343111893302234
E067,Angular Gyrus,Transcription,2897,40.705353379232825,1157,40.56802244039271,1.0057091186144917,0.9102029679535386,0.9578555276545466
E067,Angular Gyrus,Repressive,315,4.426022200365322,118,4.137447405329593,1.0729770406510548,0.5500417111850701,0.6769744137662401
E068,Anterior Caudate,Active Regulatory,976,13.713643389068428,354,12.41234221598878,1.1215015865393019,0.09009984649842387,0.29271735019977324
E068,Anterior Caudate,All Regulatory,996,13.994660671631307,362,12.692847124824686,1.1192516298838975,0.0869971770459049,0.29271735019977324
E068,Anterior Caudate,Transcription,2954,41.50625263453702,1116,39.130434782608695,1.1037980089145114,0.030435695509866006,0.16232370938595203
E068,Anterior Caudate,Repressive,335,4.7070394829282,118,4.137447405329593,1.1444676586577631,0.2416880287218422,0.42966760661660836
E069,Cingulate Gyrus,Active Regulatory,946,13.292117465224113,350,12.272089761570827,1.095859434682964,0.17677021984533864,0.3535404396906773
E069,Cingulate Gyrus,All Regulatory,969,13.61528734017142,358,12.552594670406734,1.0980025297775904,0.16083369998542218,0.343111893302234
E069,Cingulate Gyrus,Transcription,2954,41.50625263453702,1121,39.305750350631136,1.0957097732177377,0.044845055618220955,0.20500596854043865
E069,Cingulate Gyrus,Repressive,457,6.421244906561753,122,4.277699859747545,1.5354822035149904,2.3935028616202006e-05,0.0005117330490385277
E071,Hippocampus Middle,Active Regulatory,1166,16.383307573415763,451,15.813464235624123,1.0430958518961766,0.5084212376647692,0.6769744137662401
E071,Hippocampus Middle,All Regulatory,1191,16.734579176619363,462,16.199158485273493,1.0396952018619248,0.5315635177932316,0.6769744137662401
E071,Hippocampus Middle,Transcription,2897,40.705353379232825,1112,38.99018232819074,1.07418851648539,0.11891642351865789,0.29271735019977324
E071,Hippocampus Middle,Repressive,331,4.650836026415624,133,4.663394109396914,0.9971757421848166,1.0,1.0
E072,Inferior Temporal Lobe,Active Regulatory,919,12.912744133764226,335,11.746143057503506,1.1140440103451763,0.11630847852729043,0.29271735019977324
E072,Inferior Temporal Lobe,All Regulatory,938,13.179710552198962,342,11.991584852734922,1.1141207390813441,0.11189023942312964,0.29271735019977324
E072,Inferior Temporal Lobe,Transcription,2912,40.91611634115498,1098,38.49929873772791,1.1062483079168914,0.026789299872841905,0.16232370938595203
E072,Inferior Temporal Lobe,Repressive,460,6.463397498946185,168,5.890603085553997,1.103957881785732,0.29453448412339334,0.49605807852360984
E073,DLPFC,Active Regulatory,689,9.681045384291135,266,9.326788218793828,1.0420540305337083,0.5983289784298579,0.7091306411020538
E073,DLPFC,All Regulatory,701,9.849655753828861,275,9.642356241234221,1.0238477669462707,0.7656120360880234,0.8448132812005775
E073,DLPFC,Transcription,2845,39.97470844456934,1143,40.077138849929874,0.9957420760139065,0.927922542415342,0.9578555276545466
E073,DLPFC,Repressive,302,4.243360966699452,85,2.9803646563814867,1.442551465193561,0.0028259826289679917,0.022607861031743934
E074,Substantia Nigra,Active Regulatory,1009,14.177321905297175,383,13.429172510518933,1.0649137970833098,0.3376369821169027,0.5402191713870443
E074,Substantia Nigra,All Regulatory,1014,14.247576225937895,389,13.639551192145863,1.0519846322787014,0.44447130411371816,0.6204344893503587
E074,Substantia Nigra,Transcription,2850,40.044962765210066,1132,39.691444600280505,1.014855564232366,0.7514766863761664,0.8448132812005775
E074,Substantia Nigra,Repressive,247,3.470563439651539,118,4.137447405329593,0.833022475513779,0.11132752929846021,0.29271735019977324
E125,NH-A Astrocytes,Active Regulatory,517,7.2642967542503865,220,7.713884992987377,0.9371515151515152,0.4459372892205703,0.6204344893503587
E125,NH-A Astrocytes,All Regulatory,534,7.503161444428833,228,7.994389901823282,0.9335689215443287,0.4044102556608301,0.6162441991022173
E125,NH-A Astrocytes,Transcription,2315,32.52775045665308,806,28.26086956521739,1.2237689424278346,3.198331556490798e-05,0.0005117330490385277
E125,NH-A Astrocytes,Repressive,1007,14.149220177040888,492,17.251051893408135,0.7905605897302835,0.00010588379425858192,0.001129427138758207
