Group,Modality,n,IR,CI_lower,CI_upper,Fisher_P,CI_excludes_1
AD,RNA_SEQ,6383,1.111617355497941,1.0773381771402721,1.151219707614711,2.873228147187497e-09,True
AD,CAGE,6383,1.1004902764480566,1.064264459502715,1.1412644665193548,3.973951852639753e-08,True
AD,CHIP_HISTONE,6383,1.0805087898919452,1.0428247160252928,1.1186952290057242,4.21501037887758e-05,True
AD,DNASE,6383,1.0553507541423153,1.0183814446019073,1.0957070114354504,0.0038307402119375344,True
NonAD,RNA_SEQ,1096155,0.9942406618526838,0.9912971965622158,0.9970219632069638,5.932109040583064e-05,True
NonAD,CAGE,1096155,0.992903217983558,0.9898864863498449,0.9956910090666922,7.656838711054782e-07,True
NonAD,CHIP_HISTONE,1096155,0.9939990611151305,0.9906170773353821,0.9972754510235905,0.00026176147446273234,True
NonAD,DNASE,1096155,0.997289156057105,0.9944517880277782,1.0003344123539213,0.0591766685574317,False
