Cell_Type,N_variants,N_genes,Mean_CC_ratio,Median_CC_ratio,rna_seq_effect_mean,splice_junctions_effect_mean,splice_sites_effect_mean,splice_site_usage_effect_mean,cage_effect_mean,dnase_effect_mean,chip_histone_effect_mean,chip_tf_effect_mean
Neuron,5302,16,4.193620073800897,1.1833989218507854,0.9290692894380527,0.026547470324975852,0.08192908475249275,0.07074138239976012,78.95745780539036,2.5180172051451692,117.12410411165598,25.529599679366278
Microglia,2685,14,6.335188351827333,1.210123524360438,0.31905188462809697,0.002432198934556158,0.07039945153328737,0.05237484472201967,14.403853284668878,2.083501685797835,94.99371508379889,26.366666666666667
Astrocyte,743,5,6.21468318344371,1.3283210558757226,0.5773133852921456,0.010465796861401429,0.08143400756860325,0.06614090985597224,52.41230652759085,3.1165040376850603,143.8277254374159,30.710632570659488
Ubiquitous,8815,48,5.745361437281576,1.169499615549764,0.38516685467424516,0.008903608449482873,0.07241850582945758,0.058298069176688054,22.69764556047903,2.4898731154977076,124.41264853747715,24.05133112431444
