Population	N	CE_pct	RNA-seq_IR	RNA-seq_P	CAGE_IR	CAGE_P	DNase_IR	DNase_P	ChIP-histone_IR	ChIP-histone_P	N_genes_IR	Gene_IR_r	Gene_IR_p
NHW	6219	38.253738543174144	1.100899132527069	0.014829322443290487	1.211717352964672	2.2058156945846162e-07	0.9833869371598221	0.6627907689314196	1.0865253141431497	0.022508250659416605	38	-0.19040488373255177	0.25219307620714554
Hispanic	934	39.935760171306214	1.2021505376344084	0.054715780582617	0.9882694902937819	0.9396025604236085	0.9608200019158922	0.6938189410999936	1.041659864833981	0.6929124166669103	9	-0.049999999999999996	0.8983528043506301
AA	1238	40.306946688206786	1.387062978927203	1.512203829972412e-05	1.1925925925925926	0.03163103784382855	0.9623400707771881	0.6421156801406334	1.0624827467218771	0.4672100882133553	14	-0.08444965754717154	0.7740862894611976
