Modality	R5_CE_mean	R5_CtE_mean	R5_pct_diff	R5_P	R5_cohens_d	R5_N_CE	R5_N_CtE	R5_CE_higher
RNA-seq	0.5266131387836944	0.4263574023525285	23.514482422019885	0.0005201778331668319	0.04723733426583584	3245	5119	True
CAGE	42.62840025068615	24.14433942862986	76.55649837385185	0.001577458480140121	0.06975153542143797	3245	5119	True
DNase	1.8802056123001734	1.9225893342930442	-2.2045124893224175	0.49058349023554304	-0.005053765893817913	3245	5119	False
ChIP-histone	117.00292758089368	114.37277788630593	2.2996291103485302	0.034092219258732424	0.04222689307769923	3245	5119	True
