Modality	R5_mean	R5_median	R5_CI_low	R5_CI_high	R4_IR	R4_in_CI	Same_direction
RNA-seq	1.1348140035578123	1.1290339572642822	1.0754563402930755	1.2007928347378494	1.086	True	True
CAGE	1.1514353123291006	1.1506488993508108	1.0967702940270567	1.2140210481611304	1.056	False	True
DNase	1.1487214220357642	1.1515307667199315	1.0996378492002794	1.1995997915580512	1.028	False	True
ChIP-histone	1.1076014649897425	1.1069841714756534	1.058364745342536	1.152851996600277	1.062	True	True
