iteration	n_variants	ce_pct	ratio	RNA-seq_IR	RNA-seq_P	CAGE_IR	CAGE_P	DNase_IR	DNase_P	ChIP-histone_IR	ChIP-histone_P	Population
0	7212	44.60621186910704	2.899786780383795	1.113022376664218	0.0007607655423206717	1.1236088887730196	0.00022161917664807526	1.0695589160217671	0.03845670297877547	1.0200593435123941	0.5063342272892806	NHW
1	7194	46.46927995551849	2.899786780383795	1.047969158533617	0.13332453932331997	1.0549426057670503	0.0848930915696109	1.1053840387214044	0.0011829765018207083	1.0398555772661628	0.16816630447498648	NHW
2	7211	46.359728193038414	2.899786780383795	1.1166496442238825	0.0003288734088888799	1.119913212646247	0.000207339921158557	1.1420994680272194	1.2932669928097403e-05	1.0750610966895924	0.010159877555816578	NHW
3	7193	44.90476852495482	2.899786780383795	1.1618105292530927	1.7090874481884033e-06	1.2001990277267445	3.1694131006169397e-09	1.1138859436170039	0.000675361154532044	1.0315819944999276	0.28775626164438456	NHW
4	7213	47.12324968806322	2.899786780383795	1.146196995551781	5.131925312335262e-06	1.1475577848713159	3.987884779679084e-06	1.1259569456258587	8.929564304281361e-05	1.0914410689341438	0.0014937463585057032	NHW
5	7210	44.84049930651872	2.899786780383795	1.1271107408386416	0.00015637875274777545	1.1656114199889043	8.521269255700494e-07	1.0718445523760374	0.03100851401315067	1.0456326642686509	0.12990047607568134	NHW
6	7212	46.56128674431503	2.899786780383795	1.071617712831102	0.02537328965971617	1.1131955341353459	0.0004113036129817526	1.1206249904133654	0.00020459649134613243	1.1081835529539183	0.00020925697259334067	NHW
7	7197	44.37960261219953	2.899786780383795	1.0172200672299605	0.6155126329209993	1.1006066059425268	0.0027747398137677797	1.111601046487154	0.0010204709932487362	1.0551633418613338	0.06648568120110158	NHW
8	7215	48.704088704088704	2.899786780383795	1.190571258172348	1.1835860795230631e-09	1.2073667639901569	2.942180672154439e-11	1.1053643437097582	0.0006503688021944426	1.0920571793888252	0.0009532672381164385	NHW
9	7200	46.875	2.899786780383795	1.1100895241728892	0.000578921791060072	1.1206693911334127	0.00016553869399509036	1.142053269612613	1.1288785917491194e-05	1.0703788994227	0.014818931651014038	NHW
10	7194	43.6891854323047	2.899786780383795	0.8963515103962337	0.00153398027950442	0.953465384289012	0.15864266094482227	1.1373966226763161	7.066250123443293e-05	1.0736120176337387	0.01644535643775446	NHW
11	7217	46.141055840376886	2.899786780383795	1.0494798148109779	0.12597310055433847	1.0537970430107526	0.09602179828404779	1.0945059574594522	0.003537424175524153	1.0529485025449914	0.0716003659416707	NHW
12	7191	43.54053678208872	2.899786780383795	1.0296616576462791	0.3905643235774192	1.078924877151814	0.020256053057197645	1.082873950493396	0.015080045446676805	1.038529083168143	0.21005211465130294	NHW
13	7210	44.2995839112344	2.899786780383795	1.242247860405493	2.8462435425101944e-12	1.2433456081349885	1.7950525661769113e-12	1.0589673039128102	0.08083754546227571	1.0402906370089102	0.18339835012840278	NHW
14	7190	43.449235048678716	2.899786780383795	0.9556486597938145	0.1826354266009625	0.9758531940251158	0.480620782728901	1.1396696910353163	5.477333051946485e-05	1.0609631759144271	0.04837851141100298	NHW
15	7196	46.66481378543635	2.899786780383795	1.072834106107145	0.023460152553160928	1.09721046607162	0.0023893019230680343	1.161984431314056	6.34184983252182e-07	1.0823666451154415	0.004579459983295403	NHW
16	7179	46.287783813901655	2.899786780383795	0.94500157144275	0.08171313370420008	0.9948394267895675	0.8838662729008433	1.1231295878035008	0.00016027052675660243	1.0582672988666697	0.04648458126125478	NHW
17	7213	47.41439068348814	2.899786780383795	1.1250482429202218	8.192554592376125e-05	1.118069041454875	0.0001884273651479933	1.1375990370249114	1.7159064914351438e-05	1.0877852038914468	0.0021444466193106526	NHW
18	7211	47.88517542643184	2.899786780383795	1.1863225688424328	4.858142069821206e-09	1.2290863155284253	6.757093510332632e-13	1.131831811244096	2.9362501012753523e-05	1.0885649676396436	0.0017999262353864762	NHW
19	7191	46.66944792101238	2.899786780383795	1.1706116589475843	1.5960245796090328e-07	1.21234393010297	8.488569868401303e-11	1.1176898407060882	0.0002870387407493953	1.0619939659433755	0.031775247835426165	NHW
20	7198	44.33175882189497	2.899786780383795	1.1036598422928345	0.002112666272876198	1.1135388545624125	0.0007401387697918111	1.1043634646631577	0.0020802308304507773	1.0833076011051503	0.0061229878611321195	NHW
21	7210	44.10540915395285	2.899786780383795	0.9698614204706051	0.37511231359643565	1.0084366329757513	0.8145153087302929	1.16963683052091	8.725366438930624e-07	1.0673761715564591	0.02720690909835135	NHW
22	7196	47.637576431350745	2.899786780383795	1.0878627261149387	0.005610233409772876	1.1101014230115225	0.0004640406346126971	1.156405210627827	8.80727248666281e-07	1.0969761928302908	0.000696877594177739	NHW
23	7208	47.22530521642619	2.899786780383795	1.0565793207540963	0.07297517245248925	1.1272633152845857	6.383680221394518e-05	1.1615317498635211	5.526634685892171e-07	1.0604006455622201	0.03425838047205024	NHW
24	7212	46.13144758735441	2.899786780383795	1.0570083951719078	0.0772448048932783	1.1271862914130637	8.981860633116767e-05	1.1257913547994165	0.00012624006855999943	1.0824262843593684	0.004954263076632809	NHW
25	7196	45.78932740411339	2.899786780383795	1.1506819943950413	5.607758164260597e-06	1.1558914856372005	2.145360273218405e-06	1.0823995668930197	0.012140368375898079	1.0403157288307157	0.16778044345341744	NHW
26	7198	42.69241455959989	2.899786780383795	1.1238515729926108	0.00041021184478014444	1.1488510659248121	2.1938534331117227e-05	1.058317200042323	0.09604287279795064	1.0446796948387518	0.1564911149766001	NHW
