Population	N	CC_ratio_r	CC_ratio_P	Concordance_pct
ALL	8322	-0.05663281515401431	2.3446832720721647e-07	45.445806296563326
NHW	6150	-0.07375411977271672	7.011347193029912e-09	44.926829268292686
Hispanic	934	-0.0586149414642509	0.07337418485639728	46.78800856531049
AA	1238	0.03545523761081167	0.2125323700163021	47.011308562197094
