Modality	CC_IR	CC_Fisher_OR	CC_Fisher_P	Reg_R4_OR	Reg_R4_P	Direction_agree	Reg_R5_OR	Reg_R5_P
rna_seq	1.0866337645132047	1.3651385190640757	5.62749293792794e-08	1.0105579447026791	0.6510464313436721	True	1.0554967104843378	0.017495202762372906
cage	1.0552572840554895	1.2161280553752973	0.0003075321377329908	1.0099641107248298	0.6763135676226053	True	1.0889200083718749	0.0005451566572411
dnase	1.0283524534135917	1.1045022915257654	0.047360847795916344	0.9828626177975365	0.4294626302797888	False	0.9986045376972956	0.9508241540578913
chip_histone	1.0593624225528342	1.2324955788123448	4.041192119586704e-05	1.0898341871602997	0.0007007143865778149	True	1.0456769872241003	0.04806013170737066
