	rna_seq_zscore	cage_zscore	dnase_zscore	chip_histone_zscore
rna_seq_zscore	1.0	0.711263298481604	0.46503359349508194	0.45920833140632633
cage_zscore	0.711263298481604	1.0	0.5072040455688336	0.49124728974380233
dnase_zscore	0.46503359349508194	0.5072040455688336	1.0	0.5115118604201447
chip_histone_zscore	0.45920833140632633	0.49124728974380233	0.5115118604201447	1.0
