Modality	N	Mean	SD	Min	Max	Median	Skewness	Kurtosis
rna_seq	9974	0.5513054792710524	2.528549957531972	0.0029296875	57.74931716918945	0.125	13.17708565523974	214.0820025149424
cage	9974	41.11096526568629	291.1372478366558	0.125	5935.0	4.0	14.10762954010119	224.10710398698973
dnase	9974	2.444034831547634	9.810594714396158	0.015625	154.1875	0.375	7.143674593628096	64.54133456324817
chip_histone	9974	118.43816001206879	74.48292084304055	4.0	2336.0	128.0	6.326714170645405	124.09346944751431
